CustomerID,NumTransactions,TotalQuantity,TotalSpent,Cluster
12428.0,8,2894,5145.9,2
12429.0,4,1406,3212.84,2
12430.0,1,116,216.4,0
12431.0,15,2740,5829.25,1
12432.0,4,1436,3242.12,2
12433.0,7,10569,12542.25,1
12434.0,2,388,773.44,0
12435.0,2,2055,7829.89,2
12436.0,1,191,330.91,0
12437.0,18,2885,4396.16,1
12438.0,2,1125,2436.13,0
12441.0,1,103,117.30000000000001,0
12442.0,1,181,144.06,0
12444.0,5,1046,3926.7,2
12445.0,1,12,17.4,0
12446.0,1,330,949.5600000000001,0
12447.0,1,177,411.99,0
12448.0,1,182,310.37,0
12449.0,4,1375,3447.69,2
12450.0,2,128,197.88,0
12451.0,5,6007,8094.57,2
12452.0,1,181,348.57,0
12453.0,1,473,707.09,0
12454.0,1,446,2734.7400000000002,0
12455.0,5,1856,1956.96,2
12456.0,3,1538,2437.08,0
12457.0,4,748,1585.58,0
12458.0,2,464,731.9,0
12461.0,1,282,626.88,0
12462.0,2,511,907.39,0
12463.0,4,685,1138.05,0
12464.0,8,95,957.05,2
12465.0,2,471,665.59,0
12468.0,2,332,609.84,0
12471.0,27,8092,17388.649999999998,1
12472.0,7,3951,5892.37,2
12473.0,3,2143,2333.9,2
12474.0,18,4593,6496.93,1
12475.0,1,532,669.38,0
12476.0,11,2219,5645.48,2
12477.0,6,3272,11165.47,2
12478.0,1,233,545.99,0
12479.0,1,358,443.2,0
12480.0,4,1487,2647.41,2
12481.0,10,3215,4897.37,2
12483.0,8,1010,1830.94,2
12484.0,4,1884,3425.11,2
12488.0,3,506,1198.46,0
12489.0,1,97,289.03,0
12490.0,10,2904,4584.7300000000005,2
12491.0,1,258,424.40000000000003,0
12492.0,2,159,201.41000000000003,0
12493.0,2,204,379.74,0
12494.0,7,632,976.6600000000001,2
12497.0,1,1156,921.6,0
12498.0,3,156,349.70000000000005,0
12500.0,11,2619,3923.62,2
12501.0,1,1696,1834.06,0
12502.0,5,656,2740.67,2
12504.0,2,87,428.04999999999995,0
12506.0,1,23,73.5,0
12507.0,3,885,1052.81,0
12508.0,2,249,378.26,0
12509.0,1,44,109.0,0
12510.0,2,335,779.17,0
12512.0,2,65,103.57,0
12513.0,1,434,547.79,0
12514.0,1,440,1017.68,0
12515.0,1,122,243.0,0
12516.0,2,684,835.98,0
12517.0,4,1276,2178.43,0
12518.0,5,1269,1780.59,2
12519.0,1,172,276.84,0
12520.0,5,1228,2177.15,2
12521.0,1,306,545.68,0
12522.0,2,192,156.72,0
12523.0,11,840,1677.97,2
12524.0,8,3621,3756.72,2
12526.0,3,612,1162.46,0
12527.0,3,137,189.59,0
12528.0,6,560,1325.36,0
12530.0,4,797,1112.53,0
12531.0,1,45,125.22,0
12532.0,1,151,313.83000000000004,0
12534.0,1,578,869.97,0
12535.0,2,187,600.75,0
12536.0,1,2654,4078.54,2
12538.0,1,191,363.95,0
12539.0,4,1961,5235.65,2
12540.0,17,6308,11170.44,1
12541.0,3,675,841.18,0
12544.0,1,110,286.7,0
12545.0,2,445,742.39,0
12546.0,2,628,1021.5,0
12547.0,2,132,151.79999999999998,0
12548.0,1,48,67.19999999999999,0
12550.0,1,478,705.34,0
12551.0,1,80,129.0,0
12552.0,1,82,279.57,0
12553.0,9,1661,2756.31,2
12556.0,2,298,541.77,0
12557.0,4,1792,2633.84,2
12558.0,1,162,228.76,0
12559.0,2,281,525.71,0
12560.0,2,1021,1787.31,0
12561.0,1,174,224.0,0
12562.0,7,1719,3298.2400000000002,2
12564.0,1,121,367.35,0
12565.0,1,80,145.92,0
12566.0,1,212,276.65,0
12567.0,10,4133,8071.03,2
12569.0,32,1652,2851.7400000000002,1
12571.0,2,511,511.81,0
12572.0,2,393,880.08,0
12573.0,1,72,129.14000000000001,0
12574.0,1,59,182.45000000000002,0
12576.0,5,903,1242.97,0
12577.0,3,427,588.04,0
12578.0,2,1166,2355.31,0
12579.0,1,232,365.42,0
12580.0,1,236,379.7,0
12581.0,1,135,169.21,0
12582.0,2,288,321.36,0
12583.0,15,5028,6705.38,1
12584.0,9,347,2125.4500000000003,2
12585.0,2,1242,1813.6,0
12586.0,1,73,179.24,0
12587.0,1,50,104.0,0
12588.0,1,52,174.89999999999998,0
12589.0,2,286,549.08,0
12590.0,1,4006,7975.06,2
12591.0,1,225,368.85,0
12592.0,2,288,401.6,0
12593.0,3,194,342.59999999999997,0
12594.0,9,1640,3100.58,2
12596.0,2,454,404.17,0
12597.0,4,2109,3066.31,2
12598.0,7,1928,2763.48,2
12599.0,7,948,888.58,2
12600.0,9,446,1129.0800000000002,2
12601.0,5,228,451.66,0
12602.0,1,162,153.12,0
12603.0,1,56,613.1999999999999,0
12604.0,2,184,204.98000000000002,0
12607.0,1,1183,1508.81,0
12609.0,3,591,898.91,0
12610.0,4,983,1656.19,0
12611.0,1,814,1133.1,0
12612.0,1,68,68.03999999999999,0
12613.0,4,1588,2992.58,2
12614.0,1,60,249.6,0
12615.0,4,1333,1980.19,0
12616.0,2,280,641.3,0
12617.0,1,210,352.98,0
12618.0,1,95,137.31,0
12619.0,8,3250,2724.16,2
12620.0,3,1028,1169.15,0
12621.0,20,7134,12054.41,1
12622.0,1,64,147.1,0
12623.0,1,179,249.6,0
12624.0,2,329,511.03000000000003,0
12625.0,2,1585,2348.42,0
12626.0,9,3296,5736.06,2
12627.0,6,2608,3837.77,2
12628.0,3,439,699.76,0
12630.0,2,500,940.18,0
12631.0,1,222,428.2,0
12633.0,4,1105,1880.32,0
12635.0,2,1102,1439.22,0
12637.0,8,2947,5736.44,2
12638.0,1,477,479.05,0
12639.0,1,188,318.6,0
12640.0,3,301,994.58,0
12641.0,1,71,145.9,0
12642.0,3,522,875.26,0
12643.0,5,1688,2576.64,2
12644.0,1,325,477.91,0
12645.0,4,1076,1631.18,0
12646.0,2,865,1214.17,0
12647.0,12,1202,2703.31,2
12648.0,1,145,234.15,0
12649.0,3,571,546.11,0
12650.0,1,250,242.44000000000003,0
12651.0,1,63,85.95,0
12652.0,1,494,778.98,0
12653.0,2,919,2209.85,0
12654.0,5,260,529.98,0
12656.0,5,1615,3482.05,2
12657.0,4,1032,1427.18,0
12658.0,1,239,460.75,0
12659.0,1,104,73.68,0
12660.0,1,120,211.8,0
12662.0,11,1977,3379.38,2
12664.0,2,66,85.5,0
12665.0,1,36,45.0,0
12667.0,1,373,432.23,0
12668.0,4,1511,3033.35,2
12669.0,2,1051,1366.53,0
12670.0,5,1365,2636.95,2
12672.0,1,68,206.39999999999998,0
12673.0,2,305,505.62,0
12674.0,4,1110,1778.2,0
12676.0,6,618,842.69,0
12678.0,9,10481,15382.76,1
12679.0,4,525,868.02,0
12680.0,4,439,790.81,0
12681.0,22,7347,12122.28,1
12682.0,31,5291,10007.02,1
12683.0,13,4816,7286.7699999999995,1
12684.0,6,1973,2073.63,2
12685.0,6,1409,2407.37,2
12686.0,1,106,71.14,0
12688.0,1,2679,4501.39,2
12689.0,2,588,1098.41,0
12690.0,1,103,335.01,0
12691.0,5,388,927.8,0
12693.0,4,217,656.29,0
12694.0,2,503,761.67,0
12695.0,4,213,547.15,0
12697.0,3,503,757.59,0
12700.0,4,2766,4315.83,2
12701.0,2,662,721.03,0
12702.0,1,46,183.3,0
12703.0,1,163,265.55,0
12704.0,8,831,1487.09,2
12705.0,8,3634,5980.71,2
12707.0,1,256,603.42,0
12708.0,9,1231,2294.41,2
12709.0,15,3735,8696.72,1
12710.0,3,834,973.72,0
12712.0,13,808,2787.05,2
12713.0,1,481,694.9499999999999,0
12714.0,5,2883,4124.53,2
12715.0,1,180,242.56,0
12716.0,2,673,933.19,0
12717.0,2,494,815.38,0
12718.0,1,186,169.4,0
12719.0,2,342,511.35,0
12720.0,25,4453,4921.31,1
12721.0,6,1680,2128.44,2
12722.0,4,494,860.35,0
12723.0,5,421,697.59,0
12724.0,4,425,886.01,0
12725.0,1,117,175.95000000000002,0
12726.0,7,3132,2411.1,2
12727.0,7,1931,2960.15,2
12728.0,4,383,650.63,0
12729.0,1,231,417.01,0
12731.0,12,8009,16767.71,1
12732.0,1,110,218.26000000000002,0
12733.0,1,133,362.15,0
12734.0,1,48,93.6,0
12735.0,2,357,676.97,0
12736.0,1,168,144.0,0
12738.0,1,147,137.35,0
12739.0,1,485,975.54,0
12740.0,1,342,427.6,0
12743.0,2,294,494.54,0
12744.0,4,5008,8717.57,2
12750.0,1,100,224.7,0
12752.0,1,1874,3107.78,0
12753.0,6,10823,20080.89,1
12754.0,3,6481,3010.74,2
12755.0,2,1491,3811.95,2
12756.0,1,144,112.07999999999998,0
12757.0,9,2286,3981.5,2
12758.0,2,1955,2588.39,0
12759.0,3,834,1243.44,0
12762.0,2,1220,1702.52,0
12763.0,2,304,483.88,0
12764.0,1,374,1663.58,0
12766.0,7,3499,6276.29,2
12769.0,1,323,1069.65,0
12770.0,1,693,1268.95,0
12772.0,1,494,673.97,0
12775.0,5,746,1061.64,0
12778.0,6,790,642.26,0
12779.0,8,1968,3902.36,2
12781.0,2,598,664.58,0
12782.0,5,951,1662.77,0
12783.0,4,555,1194.59,0
12784.0,1,277,475.57,0
12785.0,1,119,236.45,0
12787.0,3,254,401.66,0
12789.0,1,2,59.900000000000006,0
12790.0,1,164,294.92,0
12791.0,1,96,177.60000000000002,0
12792.0,1,215,344.53999999999996,0
12793.0,2,292,461.48,0
12794.0,2,474,706.2,0
12795.0,1,60,303.48,0
12797.0,1,105,154.63,0
12798.0,3,5256,6977.04,2
12802.0,1,282,341.84000000000003,0
12808.0,3,187,455.65000000000003,0
12809.0,1,207,396.81,0
12811.0,2,209,409.35,0
12812.0,1,164,229.64000000000001,0
12814.0,1,48,85.92,0
12815.0,2,344,639.36,0
12816.0,2,121,394.40000000000003,0
12817.0,1,52,126.03999999999999,0
12818.0,1,920,1182.0800000000002,0
12865.0,2,889,1490.03,0
12866.0,1,146,467.91999999999996,0
12876.0,2,1758,1867.46,0
13492.0,3,408,1269.84,0
13493.0,2,377,498.63,0
13501.0,1,498,1203.14,0
13505.0,4,2175,3225.0,2
13520.0,6,1583,2828.81,2
13809.0,1,19,125.55,0
13810.0,2,307,827.51,0
13811.0,2,63,519.75,0
13812.0,3,327,467.15,0
13813.0,4,480,1010.52,0
13814.0,2,852,1529.32,0
13815.0,4,2432,3420.62,2
13816.0,2,228,394.32,0
13817.0,2,208,328.98,0
13919.0,2,372,306.81,0
14016.0,4,1888,3955.33,2
14265.0,2,269,465.68,0
14277.0,3,1900,3900.5,2
14335.0,2,317,426.38,0
14439.0,1,510,2525.4,0
14442.0,2,457,1579.32,0
14566.0,1,400,716.0,0
14912.0,2,443,562.5699999999999,0
14930.0,3,1120,2254.06,0
14931.0,4,406,830.6800000000001,0
14932.0,1,79,313.53,0
14934.0,2,1030,1875.94,0
14935.0,1,935,1784.71,0
14936.0,8,3754,7548.47,2
14937.0,2,400,1374.08,0
15108.0,3,446,999.85,0
15332.0,4,580,1439.06,0
15388.0,1,82,130.64,0
15480.0,1,283,869.62,0
16320.0,2,707,1027.96,0
16321.0,5,129,355.95,0
17097.0,8,438,910.55,2
17404.0,12,32264,30500.22,3
17443.0,1,504,534.24,0
17444.0,2,1761,2013.22,0
17508.0,1,245,313.51,0
17828.0,4,529,898.23,0
17829.0,1,484,823.84,0
17844.0,1,52,51.559999999999995,0
